2,Reservas Internacionales Netas,Activos de Reserva,PASIVOS EXTERNOS DE CORTO PLAZO
2019-01,3493.55,3662.09,168.54
2019-02,3615.3,4275.36,660.06
2019-03,3594.41,3868.56,274.16
2019-04,3712.89,4014.25,301.37
2019-05,3765.82,4571.11,805.29
2019-06,3757,4178.24,421.24
2019-07,3693.67,4317.84,624.17
2019-08,4575.57,5162,586.43
2019-09,4466.62,4735.11,268.48
2019-10,4861.35,5463.08,601.73
2019-11,4062.36,4775.17,712.81
2019-12,3936.49,4445.77,509.29
2020-01,3948.04,4523.23,575.19
2020-02,3867.49,4801.46,933.96
2020-03,3864.18,3997.77,133.58
2020-04,3663.53,3800.32,136.79
2020-05,3441.4,3825.57,384.17
2020-06,3103.77,3441.92,338.15
2020-07,3578.9,3581,2.1
2020-08,3801.75,3949.18,147.44
2020-09,3809.72,4015.16,205.44
2020-10,3689.85,4233.43,543.58
2020-11,3473.22,3616.18,142.97
2020-12,2915.2,3082.74,167.55
2021-01,2770.23,3049.86,279.63
2021-02,2522.97,2550.56,27.59
2021-03,2447.37,2448.52,1.15
2021-04,2496.64,2510.11,13.47
2021-05,2985.16,3342.31,357.15
2021-06,2604.32,2663.67,59.35
2021-07,2877.28,3121.87,244.59
2021-08,3228,3365.48,137.48
2021-09,3292.46,3449.78,157.33
2021-10,3365,3458.84,93.84
2021-11,3468.86,3478.78,9.92
2021-12,3342.39,3426.1,83.71
2022-01,3404.24,3425.93,21.69
2022-02,3293.63,3945.33,651.7
2022-03,3334.89,3866.75,531.85
2022-04,3419.2,3715.23,296.03
2022-05,3649.33,4242.1,592.77
2022-06,3483.47,3984.07,500.61
2022-07,3270.3,3893.23,622.93
2022-08,3325.02,3781.99,456.97
2022-09,2941.12,3777.49,836.38
2022-10,2494.77,2908.08,413.31
2022-11,2579.88,3222.42,642.54
2022-12,2440.44,2696.58,256.14
